kk	file	sample	muts_caveman	c20_genome	muts	corr_muts	c20_nanoseq_genome	obs_rate	corr_rate	donor	age	muts_per_cell
RESULT	Shearwater_calls_FDR0.95_all_muts.txt	BMH100	1039	3958820332	237	252.4888	1083821126	2.186708e-07	2.329617e-07	Shearwater_calls_FDR0.95_all_muts.txt	59	1333.15895042355
RESULT	Shearwater_calls_FDR0.95_all_muts.txt	BMH11	925	1835889706	98	103.7714	518458366	1.890219e-07	2.001538e-07	Shearwater_calls_FDR0.95_all_muts.txt	59	1145.41072601756
RESULT	Shearwater_calls_FDR0.95_all_muts.txt	BMH12	939	3814653038	205	215.0396	1033085254	1.984347e-07	2.081528e-07	Shearwater_calls_FDR0.95_all_muts.txt	59	1191.18622664465
RESULT	Shearwater_calls_FDR0.95_all_muts.txt	BMH13	1003	1905106116	102	110.2035	491828952	2.073892e-07	2.240688e-07	Shearwater_calls_FDR0.95_all_muts.txt	59	1282.26797036021
RESULT	Shearwater_calls_FDR0.95_all_muts.txt	BMH17	988	3567628620	190	203.4978	963061392	1.972875e-07	2.11303e-07	Shearwater_calls_FDR0.95_all_muts.txt	59	1209.21372784173
RESULT	Shearwater_calls_FDR0.95_all_muts.txt	BMH18	1068	1378962218	72	77.93751	366200000	1.966139e-07	2.128277e-07	Shearwater_calls_FDR0.95_all_muts.txt	59	1217.93905673361
RESULT	Shearwater_calls_FDR0.95_all_muts.txt	BMH22	962	2292425230	129	140.201	605557608	2.130268e-07	2.315239e-07	Shearwater_calls_FDR0.95_all_muts.txt	59	1324.93092006955
RESULT	Shearwater_calls_FDR0.95_all_muts.txt	BMH23	1017	2000885770	106	114.185	526766988	2.012275e-07	2.167656e-07	Shearwater_calls_FDR0.95_all_muts.txt	59	1240.4742916279
RESULT	Shearwater_calls_FDR0.95_all_muts.txt	BMH26	1077	1673896168	90	98.6178	442359684	2.034543e-07	2.229358e-07	Shearwater_calls_FDR0.95_all_muts.txt	59	1275.78420461318
RESULT	Shearwater_calls_FDR0.95_all_muts.txt	BMH27	910	1036585116	45	46.97191	275148462	1.635481e-07	1.707148e-07	Shearwater_calls_FDR0.95_all_muts.txt	59	976.941547000068
RESULT	Shearwater_calls_FDR0.95_all_muts.txt	BMH31	1105	2334427902	153	166.3465	629642434	2.429951e-07	2.64192e-07	Shearwater_calls_FDR0.95_all_muts.txt	59	1511.87911759872
RESULT	Shearwater_calls_FDR0.95_all_muts.txt	BMH33	1075	856395376	49	49.67985	223281166	2.194542e-07	2.224991e-07	Shearwater_calls_FDR0.95_all_muts.txt	59	1273.28512208738
RESULT	Shearwater_calls_FDR0.95_all_muts.txt	BMH34	1024	1078413362	63	67.70767	287420464	2.191911e-07	2.355701e-07	Shearwater_calls_FDR0.95_all_muts.txt	59	1348.08591827399
