SampleID	ACA>A	ACC>A	ACG>A	ACT>A	CCA>A	CCC>A	CCG>A	CCT>A	GCA>A	GCC>A	GCG>A	GCT>A	TCA>A	TCC>A	TCG>A	TCT>A	ACA>G	ACC>G	ACG>G	ACT>G	CCA>G	CCC>G	CCG>G	CCT>G	GCA>G	GCC>G	GCG>G	GCT>G	TCA>G	TCC>G	TCG>G	TCT>G	ACA>T	ACC>T	ACG>T	ACT>T	CCA>T	CCC>T	CCG>T	CCT>T	GCA>T	GCC>T	GCG>T	GCT>T	TCA>T	TCC>T	TCG>T	TCT>T	ATA>A	ATC>A	ATG>A	ATT>A	CTA>A	CTC>A	CTG>A	CTT>A	GTA>A	GTC>A	GTG>A	GTT>A	TTA>A	TTC>A	TTG>A	TTT>A	ATA>C	ATC>C	ATG>C	ATT>C	CTA>C	CTC>C	CTG>C	CTT>C	GTA>C	GTC>C	GTG>C	GTT>C	TTA>C	TTC>C	TTG>C	TTT>C	ATA>G	ATC>G	ATG>G	ATT>G	CTA>G	CTC>G	CTG>G	CTT>G	GTA>G	GTC>G	GTG>G	GTT>G	TTA>G	TTC>G	TTG>G	TTT>G
PD48442_cordblood_nanoseq	4.708609373	3.059945445	0	0	2.001231186	2.143579806	1.31607912	6.194108203	0	0	0	5.163309829	1.851009509	1.002315463	1.206883643	1.928731818	0.941721875	1.019981815	2.343800778	0.968417878	0	0	0	0	0	1.085866044	0	1.032661966	1.851009509	0	0	0.964365909	6.592053123	3.059945445	29.29750972	2.905253635	4.002462372	2.143579806	10.52863296	1.032351367	4.531382528	2.171732088	15.12851912	8.261295726	4.627523773	4.009261851	9.655069147	0.964365909	0	2.864149532	2.09687344	0	0.926976277	1.022536028	0	0.999893733	2.748116624	0.969791121	0	0	2.623059913	0	0	1.966562683	4.664943362	0.954716511	1.04843672	1.944075967	0.926976277	2.045072055	0	2.9996812	1.83207775	0.969791121	0	3.031828881	1.748706609	0	1.008213174	1.966562683	0.932988672	0	0	0.972037984	0	0	1.101521779	0.999893733	0	0	0	0	0.874353304	0	0	1.966562683
PD47269_cordblood_nanoseq	0	2.124079894	0	0.968663547	0	0	0	0	0	0	0	0	0	1.045286084	0	0	0.941144439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.882288879	1.062039947	5.06731721	0.968663547	0	0	1.57403647	1.090795159	1.595903112	0	0	1.089054829	0	0	2.62284941	0	0	0	0	0	0	0	0	0	0	0	0	0.975504678	0	0	0	0	0	0	0	0	0	0	0	0.978507544	0.893935604	0	0	0	1.661870305	0	0	0.925571431	0	0	0	0	0	0	0	0	0	0	0	0	0.830935152	0	0	0
PD48442_cordblood_botseq	15.8358544	4.106207751	5.035865672	18.07284847	21.24201905	13.68416551	1.851907846	12.28941156	22.92296901	7.462058944	8.081248907	24.14803045	42.18966624	26.61988153	7.290278812	29.01778577	17.59305491	3.076296877	2.526355744	19.78909293	19.14273372	4.954291833	1.851907846	11.29031458	6.970667426	9.95531709	4.043509337	15.08774687	21.09421322	20.46075894	1.450480172	34.45543713	5.279495206	2.059821749	6.299043545	3.442673656	4.245710126	3.718569492	1.851907846	3.066578893	3.98499739	1.237771325	12.10167917	3.02645742	3.667965876	1.020516148	1.458055762	0.905948717	0	0	0	0.916572242	0.914236559	0	0	0	0	0	0	0	0.840838902	0.95733897	0	0	0.865930643	0	1.88324671	0.916572242	0	0	0	0	0.955965388	2.431289293	1.301210315	0	0	0.95733897	0	0	0	0	0	0	0	1.303107926	0	0	0	0	1.30790603	0	0.831587223	0.956559534	0.954071663	1.029286231
PD48442_cordblood_mungbean	1.767450312	2.170043377	2.700192511	2.593664373	0	4.162279631	6.533367539	1.107913966	0	2.777537903	0	5.358175718	2.771565661	3.269798115	0	4.587795286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.407069636	2.155295726	12.15351405	0.865675219	3.395530403	0	4.360995258	2.207766519	0	1.400321658	4.75820133	0	3.689602764	2.170897499	1.56895036	0.916468296	0	0	0	0.854791902	0	0	1.150246107	0	0	1.248252047	0	1.079330479	0	0	0	0	0	2.049120749	0.920356728	2.534669396	0	0	3.445579907	0.952211506	3.692428124	1.251044628	0	0	0.792337788	0	0	0.96322792	0.794557146	0	0	0	0	0	0	0.949690211	0	0	1.339875961	1.078716408	0	0	0	0
PD43976_grans_colonies	49.66937464	17.83295403	4.86745967	17.3306747	50.709793	9.082636867	1.444094989	11.75294793	52.42367066	7.981106093	4.473880194	15.78181791	17.64096115	4.139161075	2.528859687	13.5216083	35.61200446	13.63696485	2.433729835	21.18193574	14.48851229	12.48862569	1.444094989	16.02674718	20.04434466	12.54173815	0	12.62545433	8.356244756	13.45227349	0	8.692462478	118.0819095	58.74384858	166.7104937	82.80211246	55.88426167	55.63115081	82.31341437	145.3091744	70.92614265	53.58742662	111.8470048	93.63878629	41.78122378	53.80909398	59.42820265	53.12060403	18.81059923	21.03227655	9.31241545	18.64902194	10.99061949	7.406106384	12.35166896	14.73616056	0.903821472	7.956667292	6.890614625	10.92725012	8.454972893	2.714811333	8.980029505	17.13006337	71.65942564	28.68037712	50.70092856	46.62255486	17.4018142	25.39236474	24.70333792	22.5954462	10.84585766	14.91875117	21.82027965	25.82804575	22.82842681	18.09874222	15.9644969	36.16346712	10.74891385	3.824050283	12.41655393	6.527157681	2.747654873	7.406106384	12.35166896	5.894464226	5.422928832	2.983750234	14.92966502	9.933863749	7.609475604	2.714811333	11.97337267	15.226723
PD43976_grans_nanoseq	2473	1021	253	1129	2609	1000	307	1597	1494	702	194	991	967	768	194	1010	2007	522	213	1083	805	551	168	738	722	462	139	576	516	629	122	961	5939	3392	7542	4578	3324	3200	3589	7129	3083	3773	4129	5242	1784	2212	2444	2828	813	1008	860	843	507	601	837	717	426	398	438	541	557	492	382	872	2791	1019	2496	3087	1049	1255	1505	1354	931	770	909	1458	1198	989	956	1758	389	193	610	436	201	298	570	465	199	115	360	232	299	282	500	654
PD43976_grans_botseq	67.93328101	19.83040988	5.512494709	33.29180181	58.73305493	23.90446368	11.46876669	38.77004709	44.61936586	25.45993351	10.42408879	31.73331625	55.7348423	51.88030691	2.205879569	53.5164945	24.97547096	7.932163954	3.307496825	27.41677796	9.788842488	7.968154561	0	11.63101413	9.699862143	11.75073854	1.158232087	9.616156438	19.55608502	19.57747431	3.308819353	33.69557061	34.96565934	20.82193038	36.38246508	24.47926604	15.66214798	7.968154561	26.37816339	46.52405651	12.60982079	15.66765139	17.37348131	12.50100337	9.778042508	12.7253583	16.54409676	17.8388315	3.184730427	6.021939142	5.948318918	3.073788726	1.972944535	1.994737818	5.767215243	1.947563435	1.000160355	0	3.019196181	3.016568831	1.011032802	1.969424749	0	6.455318109	20.16995937	8.02925219	11.89663784	16.39353987	2.959416802	10.971058	3.844810162	3.89512687	2.00032071	10.83605832	8.051189817	10.05522944	2.022065603	5.908274248	4.952285343	6.455318109	1.061576809	0	1.982772973	2.049192484	0	0.997368909	1.922405081	0	0	0	5.031993636	2.011045887	0	0.984712375	1.980914137	2.151772703
PD43979b_grans_nanoseqv2	0.938674546	1.085766041	0	0.95169135	5.428662825	2.501222165	1.693599144	2.23802394	8.091741031	0	0	1.090110936	1.878792218	0	0	1.924002687	1.877349092	2.171532081	0	3.806765401	0	0	0	0	0	0	0	0	0.939396109	1.08257187	0	1.924002687	9.386745461	3.257298122	22.09727937	2.855074051	3.257197695	5.002444331	11.85519401	7.83308379	4.855044619	2.502188555	8.809908123	4.360443746	3.757584436	0	5.486944757	2.88600403	1.673896878	0.994602961	1.01007265	2.543266863	0.89097273	1.196769217	0	0.937240835	0	1.10498314	0	0	0.799646009	0.919768452	0.977078414	7.918730592	4.184742195	1.989205922	0	1.695511242	1.781945459	1.196769217	1.179132982	0.937240835	0	2.20996628	0	0	0	0	0	3.519435819	0	0.994602961	1.01007265	0	0	2.393538435	1.179132982	4.686204175	0	0	0	0	1.599292017	0	0	0
PD43980b_grans_nanoseqv2	11.24991647	0	0	1.903284892	3.303573411	0	0	5.682009882	8.20159328	3.860225326	1.844452018	2.211597375	0.939561412	1.095248817	0	2.884504079	2.812479117	1.098253746	0	0.951642446	0	2.5675704	0	2.272803953	4.920955968	0	0	2.211597375	0.939561412	1.095248817	0	1.923002719	16.8748747	2.196507492	19.84381502	5.709854677	8.809529096	6.418926001	5.310587599	17.04602965	18.04350522	3.860225326	12.91116412	11.05798688	7.5164913	2.190497634	9.794506603	3.846005438	0	0.990392525	2.011442996	1.674628877	1.772212243	0	2.385506916	2.806205242	2.661047232	1.108447678	0	0.95318653	0.789731689	0.915878216	0	6.090221275	9.892481576	1.980785049	7.040050485	4.186572194	3.544424485	0	2.385506916	3.741606989	0.887015744	1.108447678	1.252873549	2.859559589	0.789731689	0.915878216	1.948331753	2.610094832	0.824373465	0	2.011442996	1.674628877	0	1.204902372	1.192753458	0	0	0	1.252873549	0.95318653	0	0	0.974165876	0.870031611
PD43987b_grans_nanoseqv2	5.58341744	3.315283183	0	2.836486902	6.675210234	0	0	2.292880143	6.595433932	1.309700909	1.895208579	8.897507389	1.877123467	3.311771214	0	4.804047085	9.305695734	1.105094394	0	1.890991268	0	1.308301608	0	3.439320214	3.297716966	0	0	1.112188424	0.938561733	1.103923738	0	2.882428251	22.33366976	6.630566366	23.88957538	11.34594761	8.900280312	13.08301608	9.069744507	16.050161	3.297716966	6.548504547	22.74250295	11.12188424	8.4470556	6.623542428	12.7500315	6.725665919	2.431809449	1.995245781	3.013686575	4.136277615	1.770411635	1.236691206	4.82491504	1.869459958	0.885143603	2.260837728	0	0.956052134	1.553072385	0	0	3.4445707	8.106031498	3.990491563	9.041059725	7.445299707	2.655617453	4.946764823	2.41245752	4.673649894	0.885143603	2.260837728	3.82605206	2.868156403	3.106144771	1.831836508	0.971818349	6.027998724	0.81060315	0	3.013686575	0.827255523	0.885205818	2.473382412	0	1.869459958	0	0	1.275350687	0	0.776536193	1.831836508	2.915455047	1.72228535
