fmol	 seq_reads 	unique_fragments	duprate
0.32	889714	29584331	0.0148873
0.325	826952	31829667	0.0128785
0.34	836457	33001287	0.0125667
0.3	856276	28853177	0.0146928
0.3975	928706	36044031	0.012773
0.3275	1002590	30528248	0.0162424
0.3675	854112	33260318	0.0127306
0.225	904943	18620208	0.0239111
0.0825	755672	8505700	0.0431347
0.1	869988	11505849	0.0368712
0.105	831441	10918479	0.0371266
0.085	831404	8873075	0.0454202
0.115	809534	11773819	0.033604
0.1175	914414	12033145	0.0370512
0.075	916719	7351413	0.059837
0.075	881110	7328035	0.0577803
0.32	830804	32582141	0.0126417
0.325	872659	34391777	0.0125804
0.34	836770	35457328	0.0117074
0.3	800894	32734552	0.012134
0.3975	900954	39631124	0.0112811
0.3275	964956	33704749	0.0141792
0.3675	860672	35533864	0.0120134
0.225	773334	20763818	0.0183931
0.0825	826647	9284691	0.0432244
0.1	955352	12202185	0.0381448
0.105	876174	11447491	0.0373113
0.085	842572	9515366	0.0429959
0.115	899808	11956723	0.0367013
0.1175	964224	12486602	0.0376354
0.075	957488	7851624	0.0585691
0.075	892060	7922023	0.0542474
